
STATUS | wrapper  | 2013/04/14 14:13:06 | --> Wrapper Started as Daemon
INFO   | jvm 1    | 2014/11/26 15:47:34 | 15:47:34.824 [WrapperSimpleAppMain] INFO  rebat-db - Checking schema...
INFO   | jvm 1    | 2014/11/26 15:47:35 | 15:47:35.033 [WrapperSimpleAppMain] ERROR rebat-db - RebatDB configuration failed
INFO   | jvm 1    | 2014/11/26 15:47:35 | com.mysql.jdbc.exceptions.jdbc4.CommunicationsException: Communications link failure
INFO   | jvm 1    | 2014/11/26 15:47:35 | 
INFO   | jvm 1    | 2014/11/26 15:47:35 | The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:62) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.lang.reflect.Constructor.newInstance(Constructor.java:408) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mysql.jdbc.SQLError.createCommunicationsException(SQLError.java:1121) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mysql.jdbc.MysqlIO.<init>(MysqlIO.java:355) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mysql.jdbc.ConnectionImpl.coreConnect(ConnectionImpl.java:2479) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mysql.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:2516) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mysql.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:2301) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mysql.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:834) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mysql.jdbc.JDBC4Connection.<init>(JDBC4Connection.java:47) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:62) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.lang.reflect.Constructor.newInstance(Constructor.java:408) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mysql.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:416) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mysql.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:317) ~[mysql-connector-java-5.1.24.jar:na]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.sql.DriverManager.getConnection(DriverManager.java:664) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.sql.DriverManager.getConnection(DriverManager.java:247) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mashltd.rebatdb.Mysql$$anonfun$connect$1.apply(Mysql.scala:46) ~[rebat-db_2.9.2-0.1.0.jar:0.1.0]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mashltd.rebatdb.Mysql$$anonfun$connect$1.apply(Mysql.scala:46) ~[rebat-db_2.9.2-0.1.0.jar:0.1.0]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at org.squeryl.SessionFactory$.newSession(Session.scala:95) ~[squeryl_2.9.2-0.9.5-2.jar:0.9.5-2]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at org.squeryl.dsl.QueryDsl$class.transaction(QueryDsl.scala:78) ~[squeryl_2.9.2-0.9.5-2.jar:0.9.5-2]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at org.squeryl.PrimitiveTypeMode$.transaction(PrimitiveTypeMode.scala:40) ~[squeryl_2.9.2-0.9.5-2.jar:0.9.5-2]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mashltd.rebatdb.Mysql$.generateSchema(Mysql.scala:50) ~[rebat-db_2.9.2-0.1.0.jar:0.1.0]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mashltd.rebatdb.Mysql$.initialize(Mysql.scala:19) ~[rebat-db_2.9.2-0.1.0.jar:0.1.0]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mashltd.rebatdb.Configuration$.parseConfiguration(Configuration.scala:29) ~[rebat-db_2.9.2-0.1.0.jar:0.1.0]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mashltd.rebatdb.Rebat$.main(Rebat.scala:5) [rebat-db_2.9.2-0.1.0.jar:0.1.0]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at com.mashltd.rebatdb.Rebat.main(Rebat.scala) [rebat-db_2.9.2-0.1.0.jar:0.1.0]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.lang.reflect.Method.invoke(Method.java:483) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:244) [wrapper.jar:3.3.6]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.lang.Thread.run(Thread.java:745) [na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | Caused by: java.net.ConnectException: Connection refused
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.net.PlainSocketImpl.socketConnect(Native Method) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.net.AbstractPlainSocketImpl.doConnect(AbstractPlainSocketImpl.java:345) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.net.AbstractPlainSocketImpl.connectToAddress(AbstractPlainSocketImpl.java:206) ~[na:1.8.0_25]
INFO   | jvm 1    | 2014/11/26 15:47:35 | 	at java.net.AbstractPlainSocketImpl.connect(AbstractPlainSocketImpl.java:188) ~[na:1.8.0_25]
